qid	reason
5a8d7bf7df8bba001a0f9ab3	E
5a8d7bf7df8bba001a0f9ab4	E
5a8d800edf8bba001a0f9abb	E
5a8d8412df8bba001a0f9ac8	E
5a8d8513df8bba001a0f9ad0	E
5a8d867bdf8bba001a0f9adc	#
5a8d8744df8bba001a0f9ae7	E
5a8d8836df8bba001a0f9aee	E
5a8d89b5df8bba001a0f9af7	E
5a8d89b5df8bba001a0f9afb	E
5a8d9520df8bba001a0f9b17	E
5a8d9a35df8bba001a0f9b1f	E
5a8d9a35df8bba001a0f9b20	E
5a8d9a35df8bba001a0f9b23	I
5a8d9f46df8bba001a0f9b29	E
5a8da394df8bba001a0f9b37	E
5a8da6c7df8bba001a0f9b3e	I
5a8da7d2df8bba001a0f9b4a	E
5a8dad7edf8bba001a0f9b67	E
5a8dad7edf8bba001a0f9b68	E
5a8db1e5df8bba001a0f9b79	I
5a8db1e5df8bba001a0f9b7b	E
5a8db41fdf8bba001a0f9b83	E
5a8db41fdf8bba001a0f9b86	E
5a8db6e3df8bba001a0f9b97	E
5a8db847df8bba001a0f9ba3	I
5a8db847df8bba001a0f9ba4	E
5a8db90bdf8bba001a0f9bad	E
5a8db90bdf8bba001a0f9baf	E
5a8dbd49df8bba001a0f9bb6	E
5a8dbd49df8bba001a0f9bb7	E
5a8dbd49df8bba001a0f9bb8	E
5a8dbd49df8bba001a0f9bb9	E
5a8dbfa2df8bba001a0f9bc1	E
5a8dc135df8bba001a0f9bcb	E
5a8dc231df8bba001a0f9bd3	A
5a8dc231df8bba001a0f9bd5	A
5a8dc34ddf8bba001a0f9bdd	#
5a8dc34ddf8bba001a0f9bde	#
5ad21ef0d7d075001a42849a	#
5ad21ef0d7d075001a42849d	E
5ad21fd7d7d075001a4284b5	N
5ad220dcd7d075001a4284cc	#
5ad222fbd7d075001a4284fb	A
5ad222fbd7d075001a4284fd	E
5ad22377d7d075001a428510	E
5ad22377d7d075001a428511	E
5ad2240ed7d075001a428519	I
5ad224b1d7d075001a42852a	#
5ad224b1d7d075001a42852b	E
5ad224b1d7d075001a42852c	E
5ad227efd7d075001a428551	E
5ad22870d7d075001a42855a	E
5ad22870d7d075001a42855b	#
5ad2299ed7d075001a42859b	A
5ad22a18d7d075001a4285b6	E
5ad22a18d7d075001a4285b7	A
5ad22a18d7d075001a4285b9	N
5ad22b6bd7d075001a4285f8	A
5ad22be1d7d075001a428608	E
5ad22be1d7d075001a428609	E
5ad22c77d7d075001a428611	N
5ad22d64d7d075001a42863d	E
5ad22fe9d7d075001a4286a5	A
5ad2306ed7d075001a4286c8	E
5ad23161d7d075001a42870c	#
5ad231e3d7d075001a42873b	E
5ad231e3d7d075001a42873d	E
5ad23d95d7d075001a428898	A
5ad23f8fd7d075001a4288f4	A
5ad24014d7d075001a428911	E
5ad24014d7d075001a428913	E
5ad2407bd7d075001a428937	E
5ad2407bd7d075001a42893a	N
5ad24104d7d075001a42894b	I
5ad24104d7d075001a42894c	N
5ad241d7d7d075001a428982	A
5ad241d7d7d075001a428984	A
5ad241d7d7d075001a428985	E
5ad24276d7d075001a42899c	E
5ad243f0d7d075001a428a2a	#
5ad243f0d7d075001a428a2c	E
5ad2446bd7d075001a428a57	E
5ad244f4d7d075001a428a82	#
5ad24581d7d075001a428aa9	#
5ad24658d7d075001a428af0	E
5ad24658d7d075001a428af1	E
5ad246ecd7d075001a428b0a	A
5ad246ecd7d075001a428b0b	#
5ad24762d7d075001a428b35	E
5ad24827d7d075001a428b57	E
5a591bbb3e1742001a15cf91	E
5a591d523e1742001a15cf9b	E
5a5933933e1742001a15d00a	E
5a5934dc3e1742001a15d013	E
5a59373d3e1742001a15d01c	E
5a59373d3e1742001a15d01d	A
5a593c3c3e1742001a15d03b	E
5a5947703e1742001a15d044	E
5a5947703e1742001a15d046	E
5a5947703e1742001a15d047	E
5a5949883e1742001a15d052	E
5a594b3b3e1742001a15d058	E
5a594b3b3e1742001a15d05a	E
5a5952543e1742001a15d06d	E
5a5952543e1742001a15d06f	E
5a5955093e1742001a15d076	E
5a59573e3e1742001a15d080	E
5a59573e3e1742001a15d082	E
5a5958a83e1742001a15d08a	I
5a5958a83e1742001a15d08b	E
5a5958a83e1742001a15d08c	E
5a5958a83e1742001a15d08d	A
5a5958a83e1742001a15d08e	E
5a595ba13e1742001a15d095	E
5a595cd03e1742001a15d09f	E
5a595ee03e1742001a15d0a8	E
5a595ee03e1742001a15d0a9	A
5a5961193e1742001a15d0b4	E
5a5961193e1742001a15d0b5	A
5a5961193e1742001a15d0b6	E
5a5962da3e1742001a15d0be	A
5a5962da3e1742001a15d0c0	I
5a5964413e1742001a15d0c7	A
5a596a473e1742001a15d0d4	E
5ad5f6585b96ef001a10af33	A
5ad5f6585b96ef001a10af35	E
5ad5f7a45b96ef001a10af46	A
5ad5f8455b96ef001a10af52	A
5ad5f8455b96ef001a10af53	A
5ad5f8455b96ef001a10af54	A
5ad5f8a25b96ef001a10af5c	A
5ad5f8a25b96ef001a10af5d	E
5ad5f90b5b96ef001a10af65	E
5ad5f90b5b96ef001a10af66	N
5ad5f9765b96ef001a10af72	#
5ad5f9cd5b96ef001a10af7a	N
5ad5f9cd5b96ef001a10af7b	E
5ad5fc155b96ef001a10af96	A
5ad5fc155b96ef001a10af98	A
5ad5fc5d5b96ef001a10afa3	A
5ad5fced5b96ef001a10afb6	N
5ad5fced5b96ef001a10afb8	#
5ad5fd485b96ef001a10afbe	A
5ad5fd485b96ef001a10afc0	A
5ad5fd485b96ef001a10afc2	A
5ad5fdd55b96ef001a10afc9	A
5ad5fdd55b96ef001a10afcc	N
5ad5feed5b96ef001a10afe7	#
5ad5feed5b96ef001a10afe8	N
5ad5feed5b96ef001a10afe9	N
5ad5ff435b96ef001a10aff0	N
5ad6006b5b96ef001a10b004	A
5ad600cb5b96ef001a10b00f	N
5ad6012e5b96ef001a10b01c	N
5ad601975b96ef001a10b022	N
5ad5faef5b96ef001a10af8c	N
5ad5faef5b96ef001a10af90	A
5acff47177cf76001a68660b	E
5acff47177cf76001a68660c	I
5acff47177cf76001a68660d	E
5acff47177cf76001a68660e	E
5acff5ca77cf76001a686632	E
5acff6cc77cf76001a686676	#
5acff89a77cf76001a6866a8	E
5acffbc877cf76001a6866eb	X
5acffd8177cf76001a6866fd	#
5acffd8177cf76001a6866fe	E
5acffd8177cf76001a686700	X
5acffe3177cf76001a686720	#
5acffe3177cf76001a686723	E
5ad0049777cf76001a68676c	E
5ad005e077cf76001a68677f	A
5ad0076377cf76001a686794	X
5ad0081f77cf76001a6867a4	A
5ad0081f77cf76001a6867a5	A
5ad0081f77cf76001a6867a7	E
5ad009bc77cf76001a6867c7	E
5ad009bc77cf76001a6867c8	X
5ad00a9d77cf76001a6867e1	A
5ad00a9d77cf76001a6867e3	A
5ad00faf77cf76001a686848	E
5ad00faf77cf76001a686849	N
5ad0120377cf76001a6868a4	N
5ad0120377cf76001a6868a5	E
5ad0120377cf76001a6868a6	A
5ad0120377cf76001a6868a8	#
5ad013da77cf76001a6868ee	N
5ad013da77cf76001a6868ef	A
5ad014c177cf76001a686918	A
5ad0157877cf76001a68693c	E
5ad0163b77cf76001a686965	N
5ad0163b77cf76001a686966	A
5ad0170277cf76001a68697a	N
5ad01ba277cf76001a686a32	E
5ad01ba277cf76001a686a33	E
5ad01ce177cf76001a686a6b	A
5ad01ce177cf76001a686a6c	E
5ad0205277cf76001a686ae8	E
5ad0205277cf76001a686ae9	A
5ad021dd77cf76001a686b20	N
5ad021dd77cf76001a686b23	A
5ad021dd77cf76001a686b24	N
5ad0255e77cf76001a686b99	A
5ad0255e77cf76001a686b9b	N
5ad0255e77cf76001a686b9c	E
5ad0261f77cf76001a686bb4	N
5ad0261f77cf76001a686bb6	E
5ad0274d77cf76001a686bdc	A
5ad0282277cf76001a686c02	A
5ad0282277cf76001a686c05	A
5ad0290d77cf76001a686c1e	A
5ad0290d77cf76001a686c20	E
5ad0290d77cf76001a686c21	I
5ad0290d77cf76001a686c22	E
5ad029e677cf76001a686c42	#
5ad02ad977cf76001a686c73	I
5ad02ad977cf76001a686c75	N
5ad02c2177cf76001a686cab	X
5ad02c2177cf76001a686cad	A
5ad02d2777cf76001a686cec	#
5ad02d2777cf76001a686ced	#
5ad02d2777cf76001a686cf0	#
5ad02dd977cf76001a686d0a	#
5acf70f877cf76001a684e3e	E
5acf7a3677cf76001a684efe	E
5acf9ec577cf76001a685598	I
5acfa23977cf76001a685638	#
5acfa23977cf76001a685639	#
5acfa31377cf76001a68568f	#
5acfa3cb77cf76001a6856b3	E
5acfa4e977cf76001a6856db	E
5acfa94777cf76001a685797	E
5acfadb377cf76001a685816	E
5acfb29077cf76001a685940	X
5acfb29077cf76001a685942	I
5acfb7c977cf76001a685a3c	#
5acfbc9077cf76001a685b64	E
5acfc11177cf76001a685cda	A
5acfc11177cf76001a685cdb	A
5acfc17677cf76001a685cf4	A
5acfc2c977cf76001a685d60	N
5acfc40e77cf76001a685dce	I
5acfc4e877cf76001a685e04	E
5acfc57f77cf76001a685e2f	E
5acfc61077cf76001a685e6f	A
5acfc68777cf76001a685eaa	A
5acfc75377cf76001a685f06	A
5acfc75377cf76001a685f09	#
5acfc92b77cf76001a685f8f	A
5acfc9ba77cf76001a685fb7	A
5acfca4977cf76001a685fe7	N
5acfb53777cf76001a6859bc	#
5acfb53777cf76001a6859bd	#
5acfb53777cf76001a6859be	A
5a6afdb2a9e0c9001a4e9e3c	E
5a6afe8da9e0c9001a4e9e45	E
5a6b0007a9e0c9001a4e9e4d	E
5a6b036ba9e0c9001a4e9e60	E
5a6b036ba9e0c9001a4e9e63	E
5a6b045ca9e0c9001a4e9e6c	A
5a6b07d7a9e0c9001a4e9e81	E
5a6b0974a9e0c9001a4e9e8b	E
5a6b0a37a9e0c9001a4e9e93	E
5a6b0a37a9e0c9001a4e9e96	E
5a6b0e56a9e0c9001a4e9e9c	E
5a6b0e56a9e0c9001a4e9e9f	E
5a6b0f05a9e0c9001a4e9eaa	A
5a6b1064a9e0c9001a4e9eb1	E
5a6b12d5a9e0c9001a4e9ebd	E
5a6b12d5a9e0c9001a4e9ebe	E
5a6b165fa9e0c9001a4e9ed0	E
5a6b1877a9e0c9001a4e9edc	A
5a6b1e6ba9e0c9001a4e9eec	E
5a6b1e6ba9e0c9001a4e9ef0	E
5a6b2219a9e0c9001a4e9ef9	E
5a6b244ea9e0c9001a4e9f01	E
5a6b244ea9e0c9001a4e9f03	A
5a6b2699a9e0c9001a4e9f0d	E
5a6b295ba9e0c9001a4e9f13	N
5a6b295ba9e0c9001a4e9f15	E
5a6b2d63a9e0c9001a4e9f27	E
5a6b2d63a9e0c9001a4e9f2a	N
5a6b2ed4a9e0c9001a4e9f31	E
5a11bc6f06e79900185c3537	#
5a11bc6f06e79900185c3538	E
5a1c84fbb4fb5d0018714640	E
5a1c84fbb4fb5d0018714641	E
5a1c84fbb4fb5d0018714644	E
5a11be2006e79900185c353f	#
5a11be2006e79900185c3542	I
5a1c8751b4fb5d0018714660	I
5a11c1fe06e79900185c3553	E
5a11c1fe06e79900185c3554	E
5a11c1fe06e79900185c3555	E
5a1cb8fe4ea40d0018b06ece	E
5a11c35a06e79900185c355b	I
5a11c35a06e79900185c355c	I
5a1cba7b4ea40d0018b06ed8	E
5a11e57f6614be00188f2480	E
5a11e57f6614be00188f2481	E
5a1cbbb84ea40d0018b06ee0	E
5a1cbbb84ea40d0018b06ee2	E
5a1cbde04ea40d0018b06ee9	E
5a1cbde04ea40d0018b06eea	E
5a1cbde04ea40d0018b06eeb	E
5a1cbde04ea40d0018b06eec	E
5a1cbf334ea40d0018b06ef4	E
5a1cc1574ea40d0018b06efe	E
5a1cc2cd4ea40d0018b06f08	E
5a1cc2cd4ea40d0018b06f0b	E
