qid	reason
5ad2d4a2d7d075001a42a3e0	E
5ad3ed86604f3c001a3ff7b6	E
5ad3ed86604f3c001a3ff7b4	N
5ad3ed86604f3c001a3ff7b7	N
5ad3ed86604f3c001a3ff7b5	N
5ad3ed86604f3c001a3ff7b3	N
5ad2d4a2d7d075001a42a3de	A
5a273d6bc93d92001a400443	I
5ad4c4915b96ef001a109fdc	I
5ad4c4915b96ef001a109fd9	E
5ad4c4915b96ef001a109fda	I
5ad3ad33604f3c001a3febef	A
5ad3ad33604f3c001a3febf0	E
5ad3ad33604f3c001a3febf3	E
5a84ba667cf838001a46aa6c	#
5a84ba667cf838001a46aa6b	E
5a84ba667cf838001a46aa69	X
5a84ba667cf838001a46aa68	I
5ad2d351d7d075001a42a3a4	E
5a84ba667cf838001a46aa6a	X
5ad4d90a5b96ef001a10a370	E
5ad21aa6d7d075001a428425	I
5ad21aa6d7d075001a428422	I
5ad26b60d7d075001a429352	E
5ad26b60d7d075001a429350	E
5ad26b60d7d075001a42934e	N
5ad23391d7d075001a4287a9	I
5ad23391d7d075001a4287a8	I
5ad23391d7d075001a4287aa	I
5ad23391d7d075001a4287ab	I
5ad23391d7d075001a4287ac	E
5a68eda78476ee001a58a89c	E
5a68eda78476ee001a58a8a0	E
5a68eda78476ee001a58a89f	E
5ad4d8c15b96ef001a10a358	E
5ad4d8c15b96ef001a10a35c	E
5ad23306d7d075001a428781	I
5ad23306d7d075001a428782	E
5ad23306d7d075001a428784	E
5ad41874604f3c001a4003fc	A
5ad41874604f3c001a4003fd	A
5ad2f1ba604f3c001a3fda1f	A
5ad2f1ba604f3c001a3fda20	N
5ad2f1ba604f3c001a3fda21	N
5a2c8a86bfd06b001a5aebd2	E
5a2c8a86bfd06b001a5aebd3	A
5acd6add07355d001abf413e	I
5acd6add07355d001abf413c	I
5a8d89b5df8bba001a0f9af9	A
5acd6add07355d001abf413d	I
5a8d89b5df8bba001a0f9afa	E
5ad38d80604f3c001a3fe5f3	N
5a304cb2f1f7c7001ab92d52	E
5a304cb2f1f7c7001ab92d4e	E
5a304cb2f1f7c7001ab92d4f	E
5a863812b4e223001a8e74e5	I
5a304cb2f1f7c7001ab92d50	X
5a863812b4e223001a8e74e4	E
5ad40f9c604f3c001a400174	N
5ad40f9c604f3c001a400173	N
5ad3f536604f3c001a3ff97f	N
5ad3f536604f3c001a3ff97c	N
5ad3f536604f3c001a3ff97e	N
5ad3f536604f3c001a3ff97b	E
5ad13f29645df0001a2d1399	N
5ad13f29645df0001a2d1398	I
5ad13f29645df0001a2d1397	A
5ad29277d7d075001a429abc	A
5acd6e0407355d001abf41c5	E
5acd6e0407355d001abf41c6	I
5ad36853604f3c001a3fe0b1	A
5a3abca93ff257001ab84232	E
5ad36853604f3c001a3fe0af	A
5ad36853604f3c001a3fe0ae	A
5a3abca93ff257001ab84231	E
5a3abca93ff257001ab84230	X
5ad27982d7d075001a4295b0	N
5ad2932ad7d075001a429ae0	E
5a145367c8eab200188dca20	A
5a8cc4e3fd22b3001a8d8e2e	N
5ad56fb25b96ef001a10aeba	#
5a6a2c065ce1a5001a96971a	N
5a6a2c065ce1a5001a969719	#
5ad0131077cf76001a6868d4	N
5a6a2c065ce1a5001a969717	E
5ad0131077cf76001a6868d6	A
5ad0131077cf76001a6868d3	N
5ad56fb25b96ef001a10aebb	#
5ad56fb25b96ef001a10aebd	A
5ad0131077cf76001a6868d5	E
5a3b093f3ff257001ab843b2	N
5a3b093f3ff257001ab843af	#
5a3b093f3ff257001ab843b1	#
5acd451107355d001abf3b6d	#
5ad29069d7d075001a429a95	N
5ad1889c645df0001a2d1eb3	A
5ad29069d7d075001a429a98	E
5acec7f432bba1001ae4b3d4	A
5acec7f432bba1001ae4b3d3	N
5acec7f432bba1001ae4b3d5	A
5ad29069d7d075001a429a97	E
5acec7f432bba1001ae4b3d6	A
5a106a36decec9001847564f	E
5a106a36decec90018475650	E
5a124b286614be00188f24cd	E
